Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR
25.0242822667472,19.1542825738675,9.40673378279347,0.387085008887799
25.0253044765236,19.7694383656772,9.45655408543734,0.394754363064659
25.0263266863,20.377290358584,9.5082409388816,0.402145628315579
25.0273488960764,20.9779303832298,9.56176917604468,0.409272672818214
25.0283711058527,21.5714493084558,9.61711394857289,0.416147862191191
25.0293933156291,22.1579366598371,9.67425072308525,0.422785205896316
25.0304155254055,22.7374810495815,9.73315527716419,0.429196911341264
25.0314377351819,23.3101702976237,9.79380369593535,0.43539267278677
25.0324599449583,23.8760910235827,9.8561723687361,0.441383123705073
25.0334821547347,24.4353288124956,9.92023798546657,0.447178267855332
25.0345043645111,24.9879680469606,9.9859775325377,0.45278946080665
25.0355265742875,25.5340925785774,10.0533682895758,0.458223154864257
25.0365487840639,26.0737853792249,10.122387826796,0.463484202873367
25.0375709938403,26.6071277445207,10.1930140011595,0.468583463156684
25.0383043778773,26.9859063810072,10.2446623497431,0.472148653948036
25.0390377619142,27.3614873900782,10.2971184461915,0.475635432758257
25.0397711459511,27.7339000723232,10.3503743798479,0.479045428506579
25.0405045299881,28.1031730343496,10.4044223128708,0.482384382129007
25.041237914025,28.4693349828653,10.4592544791467,0.485654613617905
25.0419712980619,28.8324147826159,10.5148631841496,0.488854387075528
25.0427046820989,29.1924405715154,10.5712408046389,0.491986401688094
25.0434380661358,29.5494398584478,10.6283797873825,0.495057010280004
25.0441714501727,29.9034405341442,10.6862726483215,0.498066490010827
25.0449048342097,30.2544705832482,10.7449119727935,0.50101165655862
25.0456382182466,30.6025569309964,10.8042904149963,0.503897095727963
25.0461519807753,30.8446649237679,10.8463235466672,0.505887638364895
25.0466657433039,31.085350698951,10.8887133454335,0.507850744716691
25.0471795058326,31.3246237014707,10.9314573447754,0.509784119616123
25.0476932683613,31.5624927531081,10.9745530944332,0.511690886691112
25.04820703089,31.7989666335171,11.0179981597498,0.513574062724584
25.0487207934186,32.0340545733026,11.0617901215961,0.515431682967466
25.0492345559473,32.2677657368029,11.1059265767634,0.517261905078159
25.049748318476,32.5001087101621,11.1504051378149,0.51906791831195
25.0502620810046,32.7310920728338,11.1952234325287,0.520852470516371
25.0507758435333,32.9607248620325,11.240379103886,0.522613248075074
25.051289606062,33.189016031192,11.2858698104477,0.524348234292051
25.0518033685906,33.4159739205272,11.3316932261426,0.52606082575671
25.0523171311193,33.6416068696005,11.3778470396763,0.527753928432349
25.052830893648,33.8659237294669,11.4243289545663,0.5294248557741
25.0533446561766,34.088933256377,11.4711366895735,0.531071338151976
25.0538584187053,34.3106435299603,11.5182679784546,0.532697179285425
25.054372181234,34.5310626453757,11.5657205693091,0.534305543933684
25.0548859437627,34.7501992985108,11.6134922246608,0.535893116752258
25.0552660066809,34.9114884602255,11.6490359792767,0.537052320524335
25.0556460695991,35.0720835922405,11.6847522309424,0.538201076660891
25.0560261325173,35.2319879011838,11.720640089242,0.539340556608904
25.0564061954355,35.3912048063293,11.756698667901,0.540469705186038
25.0567862583537,35.549737681152,11.792927084991,0.541587784197596
25.057166321272,35.707589741432,11.8293244629495,0.542695442665815
25.0575463841902,35.8647641769745,11.8658899284175,0.543793416785672
25.0579264471084,36.0212642438501,11.9026226121538,0.54488164093632
25.0583065100266,36.1770932053317,11.9395216490883,0.545959835104395
25.0586865729448,36.3322542655272,11.9765861783646,0.547028149293538
25.0593758508265,36.6119589107037,12.0442254489614,0.548941018681964
25.0598848521237,36.8171160756,12.0945186752386,0.550334328400648
25.060393853421,37.0210988313356,12.1451023968468,0.551711293823832
25.0609028547183,37.2239147393123,12.1959745982816,0.553071693832979
25.0614118560155,37.4255712525824,12.24713327708,0.554415892264213
25.0621899325979,37.7316062748975,12.3258853116618,0.556440405541925
25.0629680091803,38.0349756263328,12.4052950694433,0.558429388925794
25.0637460857627,38.3357053537892,12.4853555708937,0.560383496166935
25.064524162345,38.6338212278883,12.5660599051109,0.562303593616421
25.0653022389274,38.9293487782407,12.647401229164,0.564190440121357
25.0660803155098,39.2223132791318,12.7293727674697,0.566044849309906
25.0667735042735,39.4811769421928,12.8029266302685,0.56767022958249
25.0667735042735,39.4811769421928,12.8029266302685,0.56767022958249
25.0667773239176,39.4795025735578,12.8033332637126,0.567678814820347
25.0667811435616,39.477828349043,12.8037398755599,0.567687102219311
25.0667889502037,39.4744069428937,12.8045708544175,0.567703228394645
25.0667967568458,39.4709860614204,12.8054017531034,0.567718295351691
25.0668045634878,39.4675657416142,12.8062325649486,0.56773224493857
