seconds,mg
104130,0.002430556
104140,0.002430556
104150,0.002430556
104160,0.002430556
104170,0.002430556
104180,0.002430556
104190,0.002430556
104200,0.002430556
104210,0.002430556
104220,0.002430556
104230,0.002430556
104240,0.002430556
104250,0.002430556
104260,0.002430556
104270,0.002430556
104280,0.002430556
104290,0.002430556
104300,0.002430556
104310,0.002430556
104320,0.002430556
104330,0.002430556
104340,0.002430556
104350,0.002430556
104360,0.002430556
104370,0.002430556
104380,0.002430556
104390,0.002430556
104400,0.002430556
104410,0.002430556
104420,0.002430556
104430,0.002430556
104440,0.002430556
104450,0.002430556
104460,0.002430556
104470,0.002430556
104480,0.002430556
104490,0.002430556
104500,0.002430556
104510,0.002430556
104520,0.002430556
104530,0.002430556
104540,0.002430556
104550,0.002430556
104560,0.002430556
104570,0.002430556
104580,0.002430556
104590,0.002430556
104600,0.002430556
104610,0.002430556
104620,0.002430556
104630,0.002430556
104640,0.002430556
104650,0.002430556
104660,0.002430556
104670,0.002430556
104680,0.002430556
104690,0.002430556
104700,0.002430556
104710,0.002430556
104720,0.002430556
104730,0.002430556
104740,0.002430556
104750,0.002430556
104760,0.002430556
104770,0.002430556
104780,0.002430556
104790,0.002430556
104800,0.002430556
104810,0.002430556
104820,0.002430556
104830,0.002430556
104840,0.002430556
104850,0.002430556
104860,0.002430556
104870,0.002430556
104880,0.002430556
104890,0.002430556
104900,0.002430556
104910,0.002430556
104920,0.002430556
104930,0.002430556
104940,0.002430556
104950,0.002430556
104960,0.002430556
104970,0.002430556
104980,0.002430556
104990,0.002430556
105000,0.002430556
105010,0.002430556
105020,0.002430556
105030,0.002430556
105040,0.002430556
105050,0.002430556
105060,0.002430556
105070,0.002430556
105080,0.002430556
105090,0.002430556
105100,0.002430556
105110,0.002430556
105120,0.002430556
105130,0.002430556
105140,0.002430556
105150,0.002430556
105160,0.002430556
105170,0.002430556
105180,0.002430556
105190,0.002430556
105200,0.002430556
105210,0.002430556
105220,0.002430556
105230,0.002430556
105240,0.002430556
105250,0.002430556
105260,0.002430556
105270,0.002430556
105280,0.002430556
105290,0.002430556
105300,0.002430556
105310,0.002430556
105320,0.002430556
105330,0.002430556
105340,0.002430556
105350,0.002430556
105360,0.002430556
105370,0.002430556
105380,0.002430556
105390,0.002430556
105400,0.002430556
105410,0.002430556
105420,0.002430556
105430,0.002430556
105440,0.002430556
105450,0.002430556
105460,0.002430556
105470,0.002430556
105480,0.002430556
105490,0.002430556
105500,0.002430556
105510,0.002430556
105520,0.002430556
105530,0.002430556
105540,0.002430556
105550,0.002430556
105560,0.002430556
105570,0.002430556
105580,0.002430556
105590,0.002430556
105600,0.002430556
105610,0.002430556
105620,0.002430556
105630,0.002430556
105640,0.002430556
105650,0.002430556
105660,0.002430556
105670,0.002430556
105680,0.002430556
105690,0.002430556
105700,0.002430556
105710,0.002430556
105720,0.002430556
105730,0.002430556
105740,0.002430556
105750,0.002430556
105760,0.002430556
105770,0.002430556
105780,0.002430556
105790,0.002430556
105800,0.002430556
105810,0.002430556
105820,0.002430556
105830,0.002430556
105840,0.002430556
105850,0.002430556
105860,0.002430556
105870,0.002430556
105880,0.002430556
105890,0.002430556
105900,0.002430556
105910,0.002430556
105920,0.002430556
105930,0.002430556
105940,0.002430556
105950,0.002430556
105960,0.002430556
105970,0.002430556
105980,0.002430556
105990,0.002430556
106000,0.002430556
106010,0.002430556
106020,0.002430556
106030,0.002430556
106040,0.002430556
106050,0.002430556
106060,0.002430556
106070,0.002430556
106080,0.002430556
106090,0.002430556
106100,0.002430556
106110,0.002430556
106120,0.002430556
106130,0.002430556
106140,0.002430556
106150,0.002430556
106160,0.002430556
106170,0.002430556
106180,0.002430556
106190,0.002430556
106200,0.002430556
106210,0.002430556
106220,0.002430556
106230,0.002430556
106240,0.002430556
106250,0.002430556
106260,0.002430556
106270,0.002430556
106280,0.002430556
106290,0.002430556
106300,0.002430556
106310,0.002430556
106320,0.002430556
106330,0.002430556
106340,0.002430556
106350,0.002430556
106360,0.002430556
106370,0.002430556
106380,0.002430556
106390,0.002430556
106400,0.002430556
106410,0.002430556
106420,0.002430556
106430,0.002430556
106440,0.002430556
106450,0.002430556
106460,0.002430556
106470,0.002430556
106480,0.002430556
106490,0.002430556
106500,0.002430556
106510,0.002430556
106520,0.002430556
106530,0.002430556
106540,0.002430556
106550,0.002430556
106560,0.002430556
106570,0.002430556
106580,0.002430556
106590,0.002430556
106600,0.002430556
106610,0.002430556
106620,0.002430556
106630,0.002430556
106640,0.002430556
106650,0.002430556
106660,0.002430556
106670,0.002430556
106680,0.002430556
106690,0.002430556
